iter	Passed	Remaining
0	60	60235
1	60	30256
2	61	20292
3	61	15303
4	61	12307
5	62	10303
6	62	8877
7	62	7802
8	63	6965
9	63	6299
10	64	5755
11	64	5301
12	64	4922
13	65	4597
14	65	4307
15	65	4054
16	66	3832
17	66	3635
18	66	3458
19	67	3302
20	67	3161
21	68	3029
22	68	2911
23	68	2803
24	69	2702
25	69	2611
26	70	2526
27	70	2445
28	70	2372
29	71	2305
30	71	2238
31	72	2178
32	72	2120
33	72	2068
34	73	2017
35	73	1970
36	73	1924
37	74	1880
38	74	1838
39	74	1798
40	75	1763
41	75	1727
42	76	1694
43	76	1663
44	76	1632
45	77	1603
46	77	1575
47	78	1547
48	78	1520
49	78	1495
50	79	1471
51	79	1447
52	79	1425
53	80	1403
54	80	1381
55	80	1361
56	81	1341
57	81	1322
58	81	1306
59	82	1289
60	82	1271
61	82	1255
62	83	1240
63	83	1225
64	84	1211
65	84	1196
66	84	1182
67	85	1165
68	85	1152
69	85	1139
70	86	1126
71	86	1113
72	86	1101
73	87	1089
74	87	1078
75	87	1067
76	88	1057
77	88	1046
78	88	1037
79	89	1027
80	89	1018
81	90	1009
82	90	1000
83	90	991
84	91	980
85	91	971
86	91	962
87	92	953
88	92	946
89	92	939
90	93	931
91	93	923
92	93	916
93	94	908
94	94	901
95	94	894
96	95	886
97	95	879
98	95	873
99	96	866
100	96	859
101	96	851
102	97	845
103	97	838
104	97	833
105	98	828
106	98	822
107	98	817
108	99	811
109	99	806
110	99	800
111	100	795
112	100	790
113	101	785
114	101	780
115	101	775
116	102	770
117	102	766
118	102	760
119	103	755
120	103	750
121	103	746
122	103	740
123	104	736
124	104	732
125	105	729
126	105	724
127	105	719
128	106	716
129	106	712
130	106	708
131	107	704
132	107	700
133	107	697
134	108	693
135	108	690
136	109	687
137	109	683
138	109	679
139	110	675
140	110	672
141	110	668
142	111	665
143	111	662
144	111	659
145	112	656
146	112	653
147	112	650
148	113	646
149	113	643
150	114	640
151	114	638
152	114	634
153	114	631
154	115	628
155	115	626
156	116	623
157	116	621
158	116	618
159	117	616
160	117	613
161	118	612
162	119	611
163	119	609
164	119	606
165	120	604
166	120	601
167	121	599
168	121	597
169	121	594
170	122	592
171	122	590
172	122	587
173	123	585
174	123	582
175	124	580
176	124	579
177	125	577
178	125	574
179	125	572
180	125	569
181	126	567
182	126	564
183	126	562
184	127	560
185	127	558
186	127	556
187	128	553
188	128	552
189	128	549
190	129	547
191	129	545
192	130	543
193	130	541
194	130	539
195	131	537
196	131	535
197	131	533
198	132	531
199	132	530
200	133	529
201	133	528
202	134	526
203	134	524
204	134	523
205	135	521
206	135	519
207	136	518
208	136	516
209	136	514
210	137	513
211	137	512
212	138	510
213	138	508
214	138	506
215	139	504
216	139	502
217	139	501
218	140	499
219	140	498
220	140	496
221	141	495
222	141	493
223	142	491
224	142	490
225	142	488
226	143	487
227	143	485
228	143	484
229	144	482
230	144	480
231	144	479
232	145	477
233	145	476
234	145	475
235	146	473
236	146	472
237	146	470
238	147	469
239	147	467
240	147	465
241	148	464
242	148	462
243	148	461
244	149	459
245	149	458
246	149	457
247	150	455
248	150	454
249	151	454
250	151	453
251	152	452
252	152	451
253	153	449
254	153	448
255	153	446
256	154	445
257	154	444
258	154	442
259	155	441
260	155	441
261	156	439
262	156	438
263	156	437
264	157	436
265	157	434
266	157	433
267	158	432
268	158	431
269	158	429
270	159	428
271	159	427
272	159	425
273	160	424
274	160	424
275	161	423
276	161	422
277	162	421
278	162	419
279	162	418
280	163	417
281	163	416
282	163	415
283	164	413
284	164	413
285	164	411
286	165	411
287	165	409
288	166	408
289	166	407
290	166	406
291	167	405
292	167	404
293	168	403
294	168	402
295	168	401
296	169	400
297	169	399
298	169	397
299	170	396
300	170	395
301	170	394
302	171	393
303	171	392
304	171	391
305	172	390
306	172	389
307	172	388
308	173	387
309	173	386
310	174	385
311	174	384
312	174	383
313	175	382
314	175	381
315	175	380
316	176	379
317	176	378
318	176	377
319	177	376
320	177	375
321	177	374
322	178	373
323	178	372
324	179	371
325	179	370
326	179	370
327	180	369
328	180	368
329	180	367
330	181	366
331	181	365
332	181	364
333	182	363
334	182	362
335	183	361
336	183	360
337	183	359
338	184	358
339	184	357
340	184	356
341	185	356
342	185	355
343	185	354
344	186	353
345	186	352
346	186	351
347	187	350
348	187	349
349	187	349
350	188	348
351	188	347
352	188	346
353	189	345
354	189	344
355	190	343
356	190	343
357	190	342
358	191	341
359	191	340
360	191	339
361	192	338
362	192	337
363	192	337
364	193	336
365	194	336
366	194	336
367	195	335
368	195	334
369	195	333
370	196	332
371	196	331
372	197	331
373	197	330
374	197	329
375	198	328
376	198	328
377	198	327
378	199	326
379	199	325
380	199	324
381	200	324
382	200	323
383	200	322
384	201	321
385	201	321
386	202	320
387	202	319
388	202	318
389	203	317
390	203	317
391	203	316
392	204	315
393	204	314
394	204	313
395	205	313
396	205	312
397	206	311
398	206	310
399	206	310
400	207	309
401	207	308
402	207	307
403	208	306
404	208	306
405	208	305
406	209	304
407	209	304
408	210	303
409	210	302
410	210	302
411	211	301
412	211	300
413	211	299
414	212	299
415	212	298
416	213	297
417	213	297
418	213	296
419	214	295
420	214	294
421	214	294
422	215	293
423	215	292
424	215	291
425	216	291
426	216	290
427	216	289
428	217	289
429	217	288
430	217	287
431	218	287
432	218	286
433	219	285
434	219	285
435	219	284
436	220	283
437	220	282
438	220	282
439	221	281
440	221	280
441	222	280
442	222	279
443	222	278
444	223	278
445	223	277
446	223	277
447	224	276
448	224	275
449	224	274
450	225	274
451	225	273
452	226	272
453	226	272
454	226	271
455	227	271
456	227	270
457	228	269
458	228	269
459	228	268
460	229	267
461	229	267
462	229	266
463	230	265
464	230	265
465	230	264
466	231	263
467	231	263
468	231	262
469	232	261
470	232	261
471	233	260
472	233	259
473	233	259
474	234	258
475	234	257
476	234	257
477	235	256
478	235	256
479	235	255
480	236	254
481	236	254
482	236	253
483	237	252
484	237	252
485	237	251
486	238	250
487	238	250
488	238	249
489	239	249
490	239	248
491	239	247
492	240	247
493	240	246
494	240	245
495	241	245
496	241	244
497	241	243
498	242	243
499	242	242
500	242	241
501	243	241
502	243	240
503	243	240
504	244	239
505	244	238
506	244	238
507	245	237
508	245	237
509	246	236
510	246	235
511	246	235
512	247	234
513	247	234
514	248	233
515	248	232
516	248	232
517	249	231
518	249	231
519	249	230
520	250	230
521	250	229
522	252	230
523	252	229
524	253	229
525	253	228
526	253	227
527	254	227
528	254	226
529	255	226
530	255	225
531	255	225
532	256	224
533	256	223
534	257	223
535	257	222
536	257	222
537	258	221
538	258	220
539	258	220
540	259	219
541	259	219
542	259	218
543	260	218
544	260	217
545	260	216
546	261	216
547	261	215
548	261	215
549	262	214
550	262	214
551	262	213
552	263	212
553	263	212
554	264	211
555	264	211
556	264	210
557	265	210
558	265	209
559	266	209
560	266	208
561	266	207
562	267	207
563	267	206
564	267	206
565	268	205
566	268	204
567	268	204
568	269	203
569	269	203
570	269	202
571	270	202
572	270	201
573	270	201
574	271	200
575	271	199
576	271	199
577	272	198
578	272	198
579	273	197
580	273	197
581	273	196
582	274	196
583	274	195
584	275	195
585	276	195
586	276	194
587	276	194
588	277	193
589	277	192
590	278	192
591	278	191
592	278	191
593	279	190
594	279	190
595	280	189
596	280	189
597	280	188
598	281	188
599	281	187
600	281	187
601	282	186
602	282	185
603	282	185
604	283	184
605	283	184
606	283	183
607	284	183
608	284	182
609	284	182
610	285	181
611	285	181
612	286	180
613	286	180
614	286	179
615	287	179
616	287	178
617	288	178
618	288	177
619	288	176
620	289	176
621	289	175
622	289	175
623	290	174
624	290	174
625	290	173
626	291	173
627	291	172
628	291	172
629	292	171
630	292	171
631	293	170
632	293	170
633	293	169
634	294	169
635	294	168
636	294	168
637	295	167
638	295	167
639	296	166
640	296	165
641	296	165
642	297	164
643	297	164
644	297	163
645	298	163
646	298	162
647	298	162
648	299	161
649	299	161
650	300	160
651	300	160
652	300	159
653	301	159
654	301	158
655	301	158
656	302	157
657	302	157
658	302	156
659	303	156
660	303	155
661	303	155
662	304	154
663	304	154
664	305	153
665	305	153
666	305	152
667	306	152
