iter	Passed	Remaining
0	61	61044
1	61	30762
2	62	20617
3	62	15539
4	62	12501
5	63	10464
6	63	9018
7	64	7937
8	64	7092
9	64	6420
10	65	5873
11	65	5414
12	66	5020
13	66	4683
14	66	4391
15	67	4135
16	67	3912
17	68	3716
18	68	3542
19	69	3382
20	69	3234
21	69	3103
22	70	2982
23	70	2874
24	71	2772
25	71	2675
26	71	2588
27	72	2507
28	72	2430
29	73	2361
30	73	2295
31	73	2233
32	74	2174
33	74	2122
34	75	2068
35	75	2017
36	75	1969
37	75	1923
38	76	1880
39	76	1841
40	77	1802
41	77	1765
42	77	1730
43	78	1698
44	78	1667
45	78	1637
46	79	1609
47	79	1580
48	80	1553
49	80	1527
50	80	1503
51	81	1478
52	81	1456
53	81	1434
54	82	1414
55	82	1393
56	83	1373
57	83	1353
58	83	1335
59	84	1317
60	84	1299
61	84	1284
62	85	1267
63	85	1252
64	86	1238
65	86	1224
66	86	1209
67	87	1195
68	87	1181
69	87	1167
70	88	1153
71	88	1140
72	88	1127
73	89	1117
74	89	1105
75	90	1094
76	90	1082
77	90	1071
78	91	1062
79	91	1053
80	92	1044
81	92	1034
82	92	1023
83	92	1013
84	93	1005
85	93	998
86	94	991
87	94	982
88	95	974
89	95	965
90	95	957
91	96	949
92	96	941
93	96	933
94	97	925
95	97	920
96	98	912
97	98	905
98	98	898
99	99	892
100	99	885
101	99	879
102	100	873
103	100	866
104	101	862
105	101	857
106	102	851
107	102	845
108	102	839
109	103	835
110	103	829
111	103	824
112	104	818
113	104	813
114	105	808
115	105	802
116	105	797
117	106	792
118	106	787
119	106	782
120	107	777
121	107	772
122	107	768
123	108	763
124	108	759
125	108	754
126	109	749
127	109	744
128	109	741
129	110	737
130	110	733
131	111	730
132	111	726
133	111	722
134	112	718
135	112	714
136	112	711
137	113	708
138	113	704
139	114	700
140	114	697
141	114	693
142	115	689
143	115	686
144	115	683
145	116	680
146	116	677
147	117	674
148	117	670
149	117	667
150	118	664
151	118	660
152	118	657
153	119	654
154	119	651
155	119	648
156	120	646
157	120	643
158	121	640
159	121	637
160	121	634
161	122	631
162	122	628
163	122	625
164	123	622
165	123	619
166	123	616
167	124	614
168	124	611
169	124	609
170	125	607
171	125	604
172	125	601
173	126	598
174	126	596
